,id,lang,description,bot,translation,test_set_1,test_set_2,description_lang
0,1502026416,ja,15years ago X.Lines24,0,['15years ago X.Lines24'],0.0,0.0,en
1,2492782375,ja,保守見習い地元大好き人間。 経済学、電工、仏教を勉強中、ちなDeではいかんのか？ (*^◯^*),0,"['Maintenance apprentice local love. Economics, Denko,Buddhism study,we De is no good for it? (*^◯^*)']",0.0,0.0,ja
2,293212315,en,Let me see what your best move is!,0,['Let me see what your best move is!'],0.0,0.0,en
3,191839658,en,20. menna: #farida #nyc and the 80s actually you | Dragana,0,['20. menna: #farida #nyc and the 80s actually you | Dragana'],0.0,0.0,en
4,3020965143,en,Cosmetologist,0,['Cosmetologist'],0.0,0.0,en
5,2157382005,en,CHRISTIAN -Communication degree -graphic designer- makeup artist-pianist- FANGIRL: #Castle #EDBWK2MnNAA #AgentsOfShield #ESDLC #ChasingLife #SavingHope,0,['CHRISTIAN -Communication degree -graphic designer- makeup artist-pianist- FANGIRL: #Castle #EDBWK2MnNAA #AgentsOfShield #ESDLC #ChasingLife #SavingHope'],0.0,0.0,en
6,1947320929,en,"Live, Young, Wild and Free #crazymofo",0,"['Live, Young, Wild and Free #crazymofo']",0.0,0.0,en
7,255846106,es,Hey what's up guys? This is Giselle. I'm 21. College student and FanFiction writer all in one. :) #Rusher #Maslover and more. KENLOS/4 (07/22 and 11/11),0,"[""Hey what's up guys? This is Giselle. I'm 21. College student and FanFiction writer all in one. :) #Rusher #Maslover and more. KENLOS/4 (07/22 and 11/11)""]",0.0,0.0,en
8,1733095801,en,,0,,0.0,0.0,en
9,1336097480,en,I am not a perfect angel that you think you see. #Directioner #KatyCat #Mixer,0,['I am not a perfect angel that you think you see. #Directioner #KatyCat #Mixer'],0.0,0.0,en
10,380322177,en,John 5: 28-29,0,['John 5: 28-29'],0.0,0.0,en
11,32988810,en,"The 2C Digital Agency is determined to make a business in your city successful. Our only question is, will it be yours?",0,"['The 2C Digital Agency is determined to make a business in your city successful. Our only question is, will it be yours?']",0.0,0.0,en
12,21959183,en,KTVU Photojournalist looking for the scoop.  News is in the eye of the beholder.  I hope you like what you see here on my twitter.,0,['KTVU Photojournalist looking for the scoop.  News is in the eye of the beholder.  I hope you like what you see here on my twitter.'],1.0,1.0,en
13,1553611423,en,"Jeddy, coffee & cheese",0,"['Jeddy, coffee & cheese']",0.0,0.0,en
14,348080571,en,Oakland born and raised!! SJSU Graduate #ServingAndProtecting My 510 ....Interesting Random Fact: I enjoy meteorology and science!!,0,['Oakland born and raised!! SJSU Graduate #ServingAndProtecting My 510 ....Interesting Random Fact: I enjoy meteorology and science!!'],0.0,0.0,en
15,839690880,en,Teach English Online. Home-Based or Office-Based.,0,['Teach English Online. Home-Based or Office-Based.'],1.0,1.0,en
