,id,bot,tweet_var
143,466131055,1,483.07061942583294
948,2272618428,1,406.28654058604866
572,467194428,1,494.24506695599973
931,2266513298,1,109.51093757340523
639,468113360,1,504.71338760814257
735,542129791,1,509.1141475494308
280,466311237,1,430.89518269917437
13,237197647,1,461.13101072645213
490,467116841,1,479.6187669931607
113,465413078,1,431.42818025102883
337,466384281,1,482.81493633255405
347,466394269,1,476.65964264829245
739,542152604,1,507.83845975424094
227,466251978,1,437.60511515481426
360,466407262,1,442.6355028238561
741,542163896,1,441.0193061847432
7,177671726,1,365.1113071395801
713,539103877,1,494.2344291853559
642,468126635,1,477.564174185971
94,465379325,1,490.5345073202015
505,467128482,1,471.3990293168483
450,467077394,1,406.2454069372826
239,466265817,1,429.9909120981744
5,96435556,1,1343.9190836115426
651,468155641,1,462.246142760521
918,1276337478,1,233.06722029159505
794,575716477,1,467.91032753797185
432,466488444,1,519.0269361267399
767,562060665,1,465.0698638016726
527,467145195,1,487.11861992296883
51,465306140,1,565.2569434028205
93,465378983,1,479.5006087582913
922,1536537319,1,1337.7425875991942
522,467142582,1,555.2594323757254
963,2275884464,1,524.7186512703686
899,1273205342,1,442.8484094729241
39,434732328,1,433.0241583382736
887,1273200344,1,458.3801105505904
415,466465955,1,420.1806808330506
636,468101494,1,492.1157927892926
18,237332572,1,430.72735386703357
98,465389976,1,448.6701994260567
49,465303273,1,431.0135705665733
299,466339692,1,544.701808654887
177,466184623,1,472.10025576596826
957,2274822360,1,409.1400910608755
59,465325040,1,525.827130363195
361,466407665,1,487.76579622450157
258,466293888,1,430.52429535339525
308,466358135,1,460.17926287625414
882,1273187820,1,366.0208181534137
4,63258466,1,646.9431911181704
284,466317569,1,463.25937369380665
447,467068725,1,487.4380271838868
955,2274212730,1,461.89546344174624
703,539052577,1,498.1369093092421
503,467126378,1,403.0301146022477
92,465378609,1,423.37343947184286
132,465445130,1,472.8784239008014
297,466335221,1,469.5861432864907
610,468030602,1,422.55424440392784
646,468141676,1,415.74030234113707
289,466324791,1,432.7597826328067
180,466189857,1,475.1903898385427
801,576655867,1,446.43481165385924
851,614315066,1,429.25628550712213
576,467197267,1,480.53967719923594
305,466357272,1,404.9170173960271
755,557607196,1,397.66832591532034
27,327060670,1,620.5672535484937
397,466448804,1,530.5399129743764
139,466124519,1,435.7968779349971
477,467105761,1,477.2576254458998
864,776830412,1,269.05367272282086
74,465366176,1,428.9866600055431
509,467131009,1,379.8763761280324
640,468118601,1,443.101157767313
987,2287318956,1,377.5948325156691
687,538945122,1,483.9572953601065
40,434742028,1,443.2226918470959
109,465403330,1,427.5663703612563
121,465427410,1,458.4726372630682
633,468089119,1,466.04235108282415
273,466305077,1,500.9819473801561
411,466462817,1,501.9430683454945
667,538883948,1,473.69912011225335
933,2267349139,1,470.6764370893191
279,466310732,1,503.714039887697
210,466227486,1,445.65706010695885
975,2279233926,1,381.74362545037405
608,468026770,1,460.548493722541
357,466406088,1,443.90145251469966
663,538874527,1,436.29703591235
479,467106905,1,474.05489478740606
165,466162548,1,403.7977617456429
118,465420606,1,450.7877880605362
979,2281334370,1,432.6926316702896
848,614258591,1,409.24313653414265
106,465399558,1,491.3826899992419
923,1970829738,1,1124.6006465873488
488,467114248,1,445.6948918423731
331,466380427,1,524.2095951479539
533,467149104,1,432.0562289454879
31,418371090,1,445.4326336140907
919,1303391600,1,448.8536629324305
569,467191820,1,427.7448866219492
301,466342693,1,447.41029992207393
400,466452520,1,465.0997988220366
658,538858388,1,416.9721356877688
665,538878016,1,466.50867922978733
285,466320191,1,454.7524804102365
110,465404789,1,435.5198910422329
259,466294699,1,476.98346472634535
232,466257207,1,434.2206847425271
786,570579074,1,499.3787275379718
427,466479419,1,493.84797550164114
224,466246466,1,455.6751770169113
686,538942101,1,528.7844474963616
575,467195613,1,439.92732262502653
913,1273210567,1,497.18446367067736
