,id,bot,tweet_var
760,98888058,1,414.8010204081632
909,105270069,1,768.8349732302202
489,71756159,1,0.0
178,55081715,1,0.0
450,69490847,1,0.0
390,67602604,1,0.0
241,60111320,1,1202.9180253227544
809,102834433,1,411.7614362549428
715,94111019,1,413.8975439006574
713,93906216,1,258.14488994082836
157,53873807,1,0.0
283,64148519,1,0.0
300,64636395,1,0.0
893,104912634,1,340.43653604692565
347,65574379,1,0.0
401,67848632,1,0.0
765,100024367,1,464.59186215662737
819,103022052,1,504.2117006802721
19,23832142,1,131.32310622007654
245,60712050,1,892.6642051902242
850,103933843,1,514.6726066851631
407,68096615,1,0.0
441,69218407,1,0.0
535,74394852,1,0.0
5,14826060,1,210.8905110437492
534,74389659,1,0.0
438,69203734,1,0.0
426,68932122,1,0.0
691,90651624,1,331.17311097126924
14,20338242,1,206.0924802287819
555,75410583,1,0.0
936,106925181,1,380.2345578231293
796,102388239,1,483.9259721739388
3,10788822,1,944.0145200463827
875,104580943,1,1312.0373214660785
404,68087776,1,0.0
197,55243788,1,914.84563761817
752,98070360,1,713.3551523545707
846,103850569,1,348.00313971742537
16,21577213,1,569.002132038386
503,72235089,1,0.0
790,102091443,1,956.3972969453181
880,104733466,1,339.5348141146818
867,104520384,1,595.7773729200941
279,63579810,1,74.47222222222223
725,95665667,1,538.2126493025631
123,51878677,1,0.0
947,107241733,1,378.3618140589569
73,47799788,1,915.5376308149672
143,53652229,1,0.0
343,65332295,1,0.0
395,67609542,1,0.0
787,101953289,1,725.3397060529745
357,66086468,1,58.239999999999995
30,31228692,1,389.9968945619473
615,80737630,1,0.0
898,104957630,1,303.05680380287953
361,66208602,1,0.0
585,79057338,1,0.0
716,94445660,1,356.23793896155365
612,80525033,1,0.0
545,75142460,1,0.0
798,102425480,1,802.6757224489796
352,65968933,1,0.0
978,112429918,1,290.1860793945879
477,70888376,1,667.3693998309384
567,76530984,1,0.0
678,87539145,1,2341.7317943193148
235,59435295,1,8.222222222222223
391,67602666,1,0.0
93,49255053,1,262.88888888888886
830,103423209,1,563.725185093756
983,113122211,1,1116.2644358935665
312,64948442,1,725.7283950617283
826,103156841,1,427.8412698412698
152,53819337,1,0.0
908,105156640,1,374.92426303854876
360,66203558,1,0.0
85,49136026,1,0.0
799,102461983,1,484.64424671566076
736,97044468,1,1222.5289216278227
953,107436496,1,575.142294124182
990,115673051,1,395.7978266121663
652,84882502,1,799.3091426861993
355,66026046,1,332.1430555555556
538,74571520,1,652.1677302554632
237,59904140,1,0.0
548,75266711,1,639.1183371132771
835,103568736,1,828.3413850057669
341,65302410,1,0.0
327,65031866,1,0.0
70,47023408,1,0.0
900,104966336,1,311.85640138408303
618,81059978,1,0.0
604,79486091,1,999.8585636762153
76,48007897,1,691.3704297770623
748,98032954,1,0.0
774,100767001,1,371.88597921817944
511,72794958,1,0.0
9,16733141,1,474.8340362168457
485,71476927,1,0.0
149,53784356,1,0.0
162,54234822,1,1179.1301495504026
204,55342654,1,1115.2423833349671
376,67271221,1,0.0
836,103592239,1,622.9378840236686
689,90211549,1,362.8231989077925
146,53780726,1,0.0
136,52857699,1,0.0
189,55148489,1,0.0
364,66288366,1,1032.4591836734694
530,73912791,1,660.7521935860727
814,102992816,1,491.5604535147392
114,50970101,1,1553.5555555555554
684,88425140,1,606.26652892562
968,109753727,1,769.5328105485145
439,69204121,1,0.0
71,47678112,1,104.33450066417099
478,70979223,1,351.66002637568533
397,67845596,1,0.0
196,55221873,1,780.0993461584682
276,63074890,1,0.0
476,70852880,1,1051.8499630981012
610,80345479,1,213.44444444444446
340,65301068,1,0.0
95,49272453,1,44.22222222222223
640,83409327,1,466.7233059798151
195,55214971,1,783.9245405971068
133,52259836,1,605.5698300871627
906,105100511,1,1122.306973640307
825,103090636,1,662.3420447074294
897,104954826,1,376.2738263061216
137,52948027,1,0.0
923,106378113,1,430.7980052901065
455,69498134,1,0.0
460,69504535,1,0.0
159,53974415,1,0.0
24,28587018,1,260.8374655647383
194,55207581,1,595.2767581637365
913,105359850,1,338.2777777777778
694,90982604,1,702.2071754917025
562,75727639,1,0.0
779,101615403,1,326.9764888888889
636,83111557,1,744.6938775510204
299,64633398,1,0.0
273,62938941,1,183.764153491333
285,64222725,1,564.191429497777
539,74625641,1,726.3822222222221
698,91659548,1,278.4955366519639
782,101859187,1,775.5825531680442
685,88879751,1,708.7257617728534
966,109246054,1,841.8303923900119
191,55194361,1,0.0
722,95328374,1,724.69
69,47015574,1,0.0
470,70071077,1,419.2680675602684
605,79731455,1,501.60438071800974
253,61710426,1,0.0
60,45497562,1,0.0
865,104357710,1,386.5430555555555
845,103845428,1,335.9594483811008
666,86545217,1,228.39716547662843
186,55116927,1,0.0
551,75402827,1,0.0
269,62463639,1,0.0
961,107798859,1,368.53973832179923
568,76540531,1,0.0
981,112616289,1,389.79945351903694
596,79361616,1,0.0
628,82404691,1,774.1410963996683
785,101874819,1,528.4577875227226
648,84562398,1,321.76
816,103010555,1,588.2352738544162
163,54265489,1,356.5555555555556
111,50815325,1,1587.5833333333333
481,71222017,1,1177.7505473101571
540,74630038,1,1118.4755516778957
234,59434448,1,0.0
28,29822733,1,351.88316392733566
81,48968616,1,123.55555555555556
687,89694639,1,643.9588845779035
83,48981925,1,76.22222222222223
537,74521963,1,311.88269469007645
168,54784761,1,581.4311504125927
107,49701106,1,0.0
572,77162208,1,0.0
751,98054801,1,777.7896645819037
822,103044435,1,506.1754441571701
994,116644606,1,635.8262505645911
321,64987715,1,82.66666666666667
744,97901174,1,0.0
72,47731919,1,722.6666666666666
32,33608758,1,941.3642450578935
735,97015370,1,985.0796601142889
264,62395679,1,1121.6310983031105
506,72487115,1,0.0
885,104842190,1,1165.2409110879871
578,77670969,1,0.0
813,102988283,1,551.2497107686612
986,114340811,1,466.7353404074082
