,id,bot,tweet_var
168,159491433,0,614.7111190948632
2342,718684188,0,458.6398729712575
1848,391614396,0,155.55555555555557
879,23567222,0,385.9245809522272
1058,27493957,0,477.3676400011273
1048,2347977979,0,546.3414372149545
2620,19861856,0,572.6592836696959
564,2193114259,0,772.5533952322107
435,182276961,0,823.4052949076022
1498,184812764,0,780.2219156107628
703,2243177708,0,1065.2057774571867
321,1930770414,0,774.6505788237686
2555,1204191037,0,457.58528711748403
2146,494266249,0,571.475163906754
2282,592579646,0,182.80820831456538
1409,132128902,0,584.6263574750191
2145,494262961,0,677.1046183172758
502,17949945,0,521.7196930699592
448,541506684,0,813.6664157448575
1960,421847529,0,626.6595179550915
2048,452828946,0,659.1516945614011
2158,497302053,0,737.654946952178
1875,397629967,0,724.6588739866975
937,2312903347,0,827.757038562677
873,23444554,0,287.7190660719417
2982,614133542,0,182.45843468908623
1670,291290779,0,602.5956821762735
1441,149278846,0,277.781384851243
800,22437649,0,689.9663383602272
1663,286798567,0,670.9032055946209
1160,31102741,0,248.15934993969412
126,1719992982,0,740.3690143979951
2230,551056105,0,399.47131056145986
1758,348430064,0,626.6360791771093
2076,465431316,0,359.6364752722704
186,161547148,0,453.454209994317
1249,60508255,0,706.2185392978759
338,1939977158,0,761.9104229273372
612,19406030,0,822.601172117717
121,156751025,0,926.849703874072
1289,76982240,0,447.7125743046849
1206,49044510,0,383.83600519261586
349,174935239,0,815.9213413273114
1863,396173375,0,603.0109465214034
1024,237378862,0,721.4952508851837
2303,608022298,0,695.3747703688258
1626,259894552,0,575.9220528584773
51,1675170325,0,382.8366923239884
1434,142335653,0,411.15847005573994
105,489042575,0,873.7110332187891
2309,612645350,0,813.8754845771401
1997,433627975,0,382.2300118906064
232,14969657,0,274.5213183677495
2969,543727249,0,381.3708405174605
2106,477824021,0,690.1236035427986
2396,858190442,0,552.534116331991
2465,986839782,0,754.8835271910589
1742,335837698,0,371.38995664782726
1510,191781461,0,582.1114791240896
2124,483836463,0,484.3379303044346
748,211564378,0,919.9167498118977
1403,128587032,0,636.9395602040812
2328,632419314,0,469.4270693877551
905,24104971,0,814.7330016910244
