,id,bot,tweet_var
379,466429038,1,457.3121695337614
616,468042651,1,448.0767053578829
294,466330859,1,474.22565294586343
614,468037917,1,463.8459353959639
377,466428721,1,451.60113926790945
690,538975581,1,497.44342166511785
881,1273187490,1,435.57824077467734
95,465380942,1,484.68024003150595
483,467110763,1,445.82570312307485
466,467095185,1,448.8133692712324
127,465434130,1,475.6953425343654
73,465365494,1,442.0738265068443
297,466335221,1,451.096403680376
166,466163583,1,452.67858091562414
836,614051804,1,434.4060380048486
66,465347437,1,465.4293235841805
840,614095701,1,481.87810561057535
272,466305031,1,481.3735637172503
130,465437206,1,446.1524301226814
418,466472248,1,475.54048194373684
647,468143141,1,461.65971957889576
760,559842571,1,443.0235041004597
654,509687372,1,447.07628294149555
263,466297752,1,487.44593992558
833,613740357,1,459.9006427482334
534,467149516,1,501.90312479838616
47,465192765,1,464.83244104494935
158,466155797,1,446.3243598987026
410,466462167,1,466.2084740959135
192,466206406,1,482.783108909361
637,468102975,1,474.8109805179491
957,2274822360,1,458.52462473744583
916,1273211443,1,440.4245035210334
503,467126378,1,441.00565084241157
145,466133310,1,438.03088579992453
39,434732328,1,430.2344860514175
635,468099552,1,467.62366353516734
69,465352631,1,494.66795880943477
133,466109264,1,476.51542124522496
422,466474086,1,536.1709471688371
800,576446971,1,427.8720748198978
323,466373748,1,459.5572311178337
288,466324211,1,457.24431169013934
756,557844186,1,455.6106839134366
532,467147652,1,492.4474953822372
782,569089181,1,445.0756784908606
44,434792369,1,467.0680474884237
923,1970829738,1,983.7752889244911
927,2257463006,1,508.07485910084097
178,466188621,1,422.9124507211943
829,613481420,1,443.6504829755282
877,1273184322,1,446.13947488286396
724,539178618,1,462.0857949233829
713,539103877,1,465.35289587131115
7,177671726,1,331.242333780122
609,468029740,1,452.25531809825145
967,2277224702,1,486.5332747024099
499,467124570,1,450.57197267246323
781,569015489,1,453.28059797876665
545,467158666,1,483.99207162690846
105,465399263,1,469.02839251841533
433,467054935,1,476.13734969722196
453,467082134,1,490.7974541959638
577,467197598,1,518.7379715299106
901,1273205533,1,447.0775957257633
514,467134743,1,429.78133506977105
747,545207749,1,506.90819207768567
351,466400012,1,482.836454287484
549,467164677,1,439.36288932149046
300,466340585,1,437.72196269115557
522,467142582,1,487.0128696148303
21,237367607,1,444.59758292314706
295,466332009,1,451.6179526597427
99,465392182,1,461.994747099387
792,573842316,1,475.3332072166914
456,467085574,1,420.4028945982322
515,467135461,1,503.01293636785607
777,567390950,1,434.53538486704474
510,467132777,1,441.9556792130232
469,467096232,1,464.9220784587301
43,434790178,1,441.59497659015307
955,2274212730,1,476.0055222984183
262,466296464,1,441.79871599478895
285,466320191,1,421.3229973483812
563,467187664,1,500.32869193057877
554,467177745,1,482.91748064084265
863,772064526,1,1012.5431393344519
160,466157984,1,445.8428019062839
641,468124503,1,455.15195546035716
638,468111672,1,489.1952025358218
384,466432550,1,461.0746671245247
46,458941316,1,702.6881785538305
367,466415815,1,444.75392077305514
157,466155191,1,458.8668479486915
242,466267904,1,445.10171610232015
516,467135856,1,465.39762942277684
509,467131009,1,451.51417600777967
548,467164236,1,468.1068454385804
82,465372408,1,447.70066976420276
78,465369079,1,480.50941786721756
630,468080210,1,399.5656435994857
656,536529427,1,476.61398324040283
165,466162548,1,437.4620212198932
965,2276437098,1,448.6335456154481
913,1273210567,1,466.4972740037096
340,466386820,1,440.63560411985077
581,467199549,1,450.63512063781576
529,467146209,1,444.2443093033713
222,466242255,1,440.5521328686961
805,580922214,1,447.4384700889812
70,465359767,1,478.2668032695251
702,539048096,1,495.95534370542185
481,467109176,1,446.70110493950557
223,466246135,1,481.62601543369954
673,538905719,1,500.7594295508638
311,466360562,1,420.8901885573884
96,465387088,1,504.67507539412554
241,466266821,1,477.4634248299101
816,586123464,1,499.47229531832244
179,466189042,1,441.06794157339357
415,466465955,1,492.2072016090584
322,466372053,1,499.1941559499856
963,2275884464,1,431.21134370947976
576,467197267,1,469.7606968528495
943,2271303860,1,423.7487137858084
229,466255776,1,469.4315491627444
909,1273208635,1,468.67669632448633
669,538885769,1,440.10775999954416
553,467176923,1,514.5935276947299
473,467100704,1,486.9545039416012
399,466449824,1,415.0006812397157
465,467095169,1,466.5814429912335
700,539039368,1,478.8651026078073
258,466293888,1,466.6472549141279
739,542152604,1,483.2908025521087
947,2272611686,1,461.99004088026186
974,2278869114,1,448.8307209501816
895,1273204964,1,455.2588589659767
572,467194428,1,436.04600352534857
334,466382710,1,489.37191284053137
873,1154696185,1,501.67785935762896
436,467057265,1,455.89328461152985
501,467125977,1,435.0416501156818
775,565771674,1,823.9430825235133
717,539130256,1,473.4140913003798
23,240706202,1,425.1285367096202
880,1273186980,1,460.84646389035044
274,466305983,1,438.93100309461147
17,237326341,1,496.3032191439188
29,357536147,1,297.71834904470614
326,466376780,1,491.73871253945936
725,539186544,1,451.53116108863367
735,542129791,1,478.9067004162678
370,466419130,1,489.99394255510407
10,237178034,1,483.06883490408245
170,466175265,1,465.09507995385724
479,467106905,1,455.6060671680056
948,2272618428,1,451.0103665743302
413,466463528,1,474.95223444243146
932,2267333220,1,425.15910237313335
124,465429916,1,471.9561402639374
512,467133470,1,448.05585423494375
757,558474413,1,446.59520407579373
585,467200763,1,515.172914441346
92,465378609,1,438.0763979692264
687,538945122,1,472.6331990901087
255,466291288,1,469.3823384253444
11,237192061,1,436.4979576039891
621,468059646,1,483.4044325010691
734,539276634,1,471.7051104841355
484,467111532,1,473.3257694670428
597,467999325,1,457.7868004269168
768,562778292,1,454.1053977830354
807,580967031,1,420.0042717193343
259,466294699,1,447.85279877493264
8,223945761,1,114.88289449377953
812,585906857,1,436.65723116023224
583,467200263,1,495.062051619546
382,466430486,1,460.2326608463565
558,467182346,1,422.2621516472629
205,466224759,1,485.16842397605996
492,467117750,1,477.18805545780083
839,614082154,1,452.4272504831891
561,467185497,1,450.2400981784313
871,1071014605,1,476.15917293051183
743,542215293,1,473.4769374369005
834,614030425,1,456.7945132642749
926,2221181299,1,438.11607925409413
19,237346330,1,450.2939098184247
683,538927099,1,460.38000677378477
770,564249598,1,345.23279004276947
971,2277404047,1,448.99996855822434
892,1273204130,1,429.33057126985886
264,466298573,1,413.6971099297362
495,467121186,1,447.26845567960703
265,466298694,1,478.6050167203736
206,466225307,1,493.2262167853257
843,614174307,1,447.0208536961714
590,467203292,1,473.3690040701977
956,2274254095,1,460.6965144334259
424,466475858,1,422.01592298610495
104,465398499,1,447.67928394597845
888,1273201142,1,459.3048697654904
214,466234508,1,477.49259258903703
28,336996257,1,381.1127214953354
30,393927847,1,543.5875059811217
394,466444765,1,466.4732007755522
217,466237339,1,475.4283163716247
850,614313057,1,445.6484485961245
374,466424669,1,434.829713660283
386,466435521,1,470.60198860646
27,327060670,1,724.3285913109698
335,466383527,1,510.333471638546
328,466378907,1,492.03698300432643
195,466210973,1,471.51099049675395
136,466116893,1,483.41171586942914
151,466146699,1,451.591070437961
472,467099372,1,445.0707363245235
101,465393290,1,455.2424024100665
689,538952010,1,504.72082842987083
979,2281334370,1,447.2344963968781
964,2276246472,1,449.2660759990709
506,467128761,1,444.37203561659396
373,466424089,1,484.86791251547686
884,1273188654,1,416.6315281907621
987,2287318956,1,406.56719489795825
752,545708233,1,416.7521214232553
411,466462817,1,453.90665230281763
423,466475273,1,398.66706881287803
728,539219286,1,442.7875654085617
844,614197225,1,439.65723403489545
254,466289763,1,436.12482710197105
598,468004034,1,461.8409595823825
248,466281766,1,444.5699770597579
719,539150535,1,433.67900311505133
313,466362716,1,491.8523346073482
90,465376509,1,447.5878656818677
742,542209179,1,627.6660624214587
564,467188464,1,451.33684975857125
708,539092138,1,482.75472715366834
701,539045903,1,444.2057739436997
462,467092645,1,425.65949791595807
648,468144332,1,483.48541948208975
230,466255887,1,468.5635945997213
611,468033321,1,433.6657339933829
898,1273205300,1,440.2284388345096
914,1273211215,1,700.8162677880321
36,434727810,1,435.0184362467699
60,465325633,1,459.53416047782514
531,467147087,1,496.3858842560439
651,468155641,1,449.12125563544123
276,466308638,1,442.6035003320066
745,542219577,1,449.46978629113113
882,1273187820,1,433.4324459129961
497,467123525,1,463.8457924695375
53,465317813,1,460.14712201497144
766,561520488,1,422.35794640116364
612,468034219,1,498.6001070668739
988,2290264806,1,436.739359253571
283,466315053,1,473.9466039331738
905,1273207591,1,441.51718403545027
24,260649579,1,933.804066804864
51,465306140,1,525.902670938145
198,466215674,1,440.17220482867367
626,468068306,1,449.7556902283586
885,1273199486,1,439.28122885905566
962,2275879068,1,438.83456300148885
471,467097582,1,476.12478437293385
425,466476542,1,508.4613838248283
633,468089119,1,463.9187646716398
138,466123036,1,482.7200023975127
172,466177486,1,440.34042064765
796,576148031,1,412.2737030258672
968,2277230660,1,432.02918547476025
400,466452520,1,452.6213212749784
772,564405301,1,529.6987956786088
213,466232314,1,491.6954779747443
357,466406088,1,491.03048017431433
618,468048856,1,435.6467141265448
837,614053652,1,479.3095705680529
900,1273205437,1,434.0492672824147
883,1273187922,1,441.29664579299595
35,434722849,1,438.2193942911327
890,1273203368,1,467.82403704648254
289,466324791,1,479.56989852377404
798,576226470,1,435.04890325095676
567,467191098,1,497.3203013932801
769,563573340,1,420.52053274704923
467,467095379,1,478.80567884798586
767,562060665,1,493.5823953386732
942,2271297840,1,422.6727270157656
284,466317569,1,450.3585577027246
518,467136996,1,467.91874588250477
870,1070386470,1,334.6551280802061
119,465421036,1,444.5632853639995
2,39773427,1,515.6217850747739
918,1276337478,1,219.12805534765536
154,466152938,1,468.32146348703213
508,467129656,1,465.75199442476986
592,467203990,1,469.50203064002807
416,466469884,1,469.49923447307754
801,576655867,1,448.3030966496788
682,538922623,1,435.8632876075736
277,466308751,1,466.1967537367919
348,466395857,1,447.1692560653423
864,776830412,1,269.72582208164704
215,466235245,1,476.72447298775074
688,538945998,1,475.4424865956492
603,468016342,1,448.3672693380671
204,466223608,1,465.53224431427765
664,538877096,1,488.23457166229207
123,465429324,1,485.4017097501502
14,237201814,1,432.2090800968881
659,538860161,1,482.98754748674634
338,466386301,1,438.3161879857731
452,467079499,1,444.6979800435056
417,466470799,1,452.8097062251466
447,467068725,1,465.5144553895993
543,467157882,1,478.1545288574142
120,465426060,1,486.0407783911279
560,467185243,1,479.34485061306844
542,467157688,1,441.2232313807779
958,2274833028,1,446.8916949773892
115,465418238,1,461.40136987509743
755,557607196,1,424.2013273023023
594,467204810,1,446.03760486749474
476,467105452,1,462.1763738611204
494,467120569,1,428.0441404200135
210,466227486,1,459.1019535863601
203,466221249,1,480.78544178643546
251,466285518,1,439.5716694791052
408,466460908,1,433.1319094351413
407,466458918,1,470.41792424243107
652,494302461,1,603.1719112014166
429,466480215,1,446.2130045295343
380,466429651,1,469.5242223866064
774,565684911,1,449.5127974959371
108,465402069,1,449.66147958261
845,614209875,1,460.3604490618637
887,1273200344,1,477.0181047523459
814,585956153,1,449.44318092983974
869,1024955420,1,680.6138099847244
780,567766458,1,442.9677432227371
427,466479419,1,440.2623335091855
